case,fixed_image,moving_image
NLST_0065,NLST_0065_0000.nii.gz,NLST_0065_0001.nii.gz
NLST_0033,NLST_0033_0000.nii.gz,NLST_0033_0001.nii.gz
NLST_0206,NLST_0206_0000.nii.gz,NLST_0206_0001.nii.gz
NLST_0083,NLST_0083_0000.nii.gz,NLST_0083_0001.nii.gz
NLST_0007,NLST_0007_0000.nii.gz,NLST_0007_0001.nii.gz
NLST_0213,NLST_0213_0000.nii.gz,NLST_0213_0001.nii.gz
NLST_0092,NLST_0092_0000.nii.gz,NLST_0092_0001.nii.gz
NLST_0267,NLST_0267_0000.nii.gz,NLST_0267_0001.nii.gz
NLST_0097,NLST_0097_0000.nii.gz,NLST_0097_0001.nii.gz
NLST_0259,NLST_0259_0000.nii.gz,NLST_0259_0001.nii.gz
NLST_0224,NLST_0224_0000.nii.gz,NLST_0224_0001.nii.gz
NLST_0078,NLST_0078_0000.nii.gz,NLST_0078_0001.nii.gz
NLST_0010,NLST_0010_0000.nii.gz,NLST_0010_0001.nii.gz
NLST_0258,NLST_0258_0000.nii.gz,NLST_0258_0001.nii.gz
NLST_0001,NLST_0001_0000.nii.gz,NLST_0001_0001.nii.gz
NLST_0253,NLST_0253_0000.nii.gz,NLST_0253_0001.nii.gz
NLST_0036,NLST_0036_0000.nii.gz,NLST_0036_0001.nii.gz
NLST_0063,NLST_0063_0000.nii.gz,NLST_0063_0001.nii.gz
NLST_0044,NLST_0044_0000.nii.gz,NLST_0044_0001.nii.gz
NLST_0061,NLST_0061_0000.nii.gz,NLST_0061_0001.nii.gz
NLST_0207,NLST_0207_0000.nii.gz,NLST_0207_0001.nii.gz
NLST_0041,NLST_0041_0000.nii.gz,NLST_0041_0001.nii.gz
NLST_0055,NLST_0055_0000.nii.gz,NLST_0055_0001.nii.gz
NLST_0056,NLST_0056_0000.nii.gz,NLST_0056_0001.nii.gz
NLST_0015,NLST_0015_0000.nii.gz,NLST_0015_0001.nii.gz
NLST_0074,NLST_0074_0000.nii.gz,NLST_0074_0001.nii.gz
NLST_0042,NLST_0042_0000.nii.gz,NLST_0042_0001.nii.gz
NLST_0048,NLST_0048_0000.nii.gz,NLST_0048_0001.nii.gz
NLST_0093,NLST_0093_0000.nii.gz,NLST_0093_0001.nii.gz
NLST_0271,NLST_0271_0000.nii.gz,NLST_0271_0001.nii.gz
NLST_0026,NLST_0026_0000.nii.gz,NLST_0026_0001.nii.gz
NLST_0039,NLST_0039_0000.nii.gz,NLST_0039_0001.nii.gz
NLST_0052,NLST_0052_0000.nii.gz,NLST_0052_0001.nii.gz
NLST_0250,NLST_0250_0000.nii.gz,NLST_0250_0001.nii.gz
NLST_0090,NLST_0090_0000.nii.gz,NLST_0090_0001.nii.gz
NLST_0066,NLST_0066_0000.nii.gz,NLST_0066_0001.nii.gz
NLST_0100,NLST_0100_0000.nii.gz,NLST_0100_0001.nii.gz
NLST_0018,NLST_0018_0000.nii.gz,NLST_0018_0001.nii.gz
NLST_0104,NLST_0104_0000.nii.gz,NLST_0104_0001.nii.gz
NLST_0020,NLST_0020_0000.nii.gz,NLST_0020_0001.nii.gz
